,subjID,duration,slope,intercept,age,gender
74,561501.0,1000.0,0.4763424336713479,-1.4797282448068372,27.0,Man
75,861643.0,125.0,0.1507066927944153,-0.456691437493709,36.0,Man
76,119902.0,1000.0,0.6299950098013467,-1.9368162527835957,-0.20963060286893542,Man
77,602527.0,250.0,0.6215447986461793,-1.9064077532065027,61.0,Woman
78,965886.0,125.0,0.5288261299172408,-1.594561012479681,41.0,Woman
79,481307.0,250.0,0.7459776230350429,-2.2773123082822613,57.0,Man
80,715777.0,250.0,0.12135628145870551,-0.36648081753349593,25.0,Man
81,247969.0,125.0,0.649051930041139,-2.0102264814765944,51.0,Man
82,917289.0,125.0,0.6821407303139309,-2.082004887462407,32.0,Man
83,438332.0,125.0,0.41585558123689265,-1.2786678835515208,40.0,Man
84,191217.0,1000.0,0.7570940202577704,-2.3202320942691688,50.0,Woman
85,858720.0,125.0,-0.010366077277654298,0.03716336052785281,31.0,Man
86,506889.0,125.0,0.2826694730104333,-0.8628584042013172,35.0,Man
87,270834.0,1000.0,0.08427972900779798,-0.2552146183514131,57.0,Woman
88,390384.0,250.0,0.7033607300703,-2.148236286744383,34.0,Man
89,959126.0,125.0,0.217938643133865,-0.6634457652681522,42.0,Man
90,331695.0,125.0,0.2968409443593632,-0.9088760974508748,26.0,Man
91,731323.0,125.0,-0.03138779203979515,0.0920974108783859,35.0,Woman
92,509126.0,125.0,0.7570681172318796,-2.3143550845981333,29.0,Man
93,227673.0,250.0,0.36432320392146117,-1.1134780484117601,38.0,Man
94,258754.0,125.0,0.6557132721976212,-2.010512154719611,42.0,Man
95,794567.0,1000.0,0.2629609040540479,-0.8178452138697825,58.0,Woman
96,236755.0,250.0,0.6607711889096466,-2.0118850710534733,33.0,Man
97,116870.0,125.0,0.36495557915198606,-1.1222385903092686,29.0,Man
98,574189.0,1000.0,0.37327932451795237,-1.142104630384044,28.0,Woman
99,101170.0,125.0,0.24560698460306704,-0.7544703397755237,30.0,Woman
100,871020.0,1000.0,0.6257315005919162,-1.9262285571107258,27.0,Man
101,645304.0,250.0,0.571344956558315,-1.74794902297395,59.0,Woman
102,273125.0,250.0,0.05524018877210374,-0.16707167985607063,48.0,Woman
103,476113.0,250.0,0.6468866557262261,-1.9815014651648304,49.0,Man
104,996244.0,125.0,0.5807650898079321,-1.7783971115141264,38.0,Woman
105,343481.0,250.0,0.5088142370058769,-1.5652552407401434,1.83442750847172,Man
106,254639.0,1000.0,0.36263689303656843,-1.11045694808503,67.0,Man
107,939289.0,1000.0,0.03519218335969329,-0.10974715553043167,35.0,Woman
108,452742.0,250.0,0.6999481256168057,-2.1406291566028455,29.0,Woman
109,164641.0,125.0,0.6466091592485895,-1.9846726906445336,31.0,Woman
110,645596.0,1000.0,0.28134355425998775,-0.8613416916943712,30.0,Woman
111,783411.0,1000.0,0.41090434701777717,-1.2599191727734316,34.0,Woman
112,318941.0,1000.0,0.5277645559572423,-1.6094313682705128,54.0,Woman
113,159726.0,125.0,0.6935487970895792,-2.1247693449753657,39.0,Man
114,771837.0,250.0,0.705466173903786,-2.14834253985356,33.0,Man
115,595982.0,1000.0,0.5805412789081599,-1.7826957722123384,42.0,Man
116,161929.0,250.0,0.6998356213315131,-2.150780637407789,40.0,Man
117,749493.0,250.0,0.7315323856977427,-2.240043776180101,42.0,Woman
118,507787.0,1000.0,0.7359925048846665,-2.2512497231918065,34.0,Woman
119,524614.0,125.0,0.13968451571905927,-0.4400058129209557,1.1579354234016312,Woman
120,738672.0,1000.0,0.7630343164436938,-2.34220661008743,31.0,Man
121,369799.0,1000.0,0.5451773248545212,-1.6690300612924471,39.0,Woman
122,468789.0,1000.0,0.7129646233718622,-2.172910247863088,45.0,Man
123,666266.0,125.0,0.5862381154471823,-1.7916278577779317,29.0,Woman
124,963837.0,250.0,0.7003542559750237,-2.1387257338029304,29.0,Man
125,999948.0,1000.0,0.20035423405352232,-0.6159346694041768,27.0,Man
126,457061.0,250.0,-0.058689748184953615,0.1805408900546598,37.0,Woman
127,467363.0,125.0,0.6077506364530726,-1.8643210104821002,23.0,Woman
128,208096.0,1000.0,0.40975812483221047,-1.2541840488007996,34.0,Man
129,284099.0,1000.0,0.4966553677197438,-1.520583852421371,25.0,Man
130,540886.0,250.0,0.7118551025707391,-2.1778953460306414,38.0,Man
131,140433.0,250.0,0.6952022138257204,-2.1280042058461257,27.0,Man
132,455617.0,250.0,0.1712556387518755,-0.5179172011740322,35.0,Woman
133,487132.0,250.0,0.6800938560381532,-2.083929288414417,61.0,Woman
134,420492.0,250.0,0.22337215890163842,-0.6924304129817108,21.0,Woman
135,148431.0,1000.0,0.5823375518202999,-1.790993394334503,37.0,Woman
136,699454.0,1000.0,0.7250670933633881,-2.219062070891588,39.0,Man
137,393442.0,250.0,0.7330571092928254,-2.2457467759396934,40.0,Woman
138,421425.0,250.0,0.6501268473909222,-2.0071962861571686,43.0,Woman
139,526603.0,1000.0,-0.09765017037518453,0.2950190082237638,25.0,Man
140,772911.0,1000.0,0.7507131048419051,-2.2975394858858462,35.0,Woman
141,950018.0,125.0,0.6499832988490964,-1.9979529678121597,25.0,Man
142,685556.0,125.0,0.39613340859576945,-1.2060967554255404,53.0,Man
143,701762.0,125.0,0.5741970480318627,-1.744849607423811,53.0,Man
144,273184.0,1000.0,0.6349982952216734,-1.9481838848602238,39.0,Man
145,831052.0,250.0,0.7336002847456805,-2.2414143512258295,41.0,Man
146,799376.0,250.0,0.14057239370338803,-0.42872120897481014,55.0,Woman
147,852146.0,125.0,0.5135458956049463,-1.5719548986897636,51.0,Man
148,497238.0,1000.0,0.6051779643514149,-1.8409034275082221,55.0,Woman
149,975399.0,1000.0,0.40397223402694815,-1.2235712925319024,25.0,Man
150,768943.0,125.0,0.6790937046647283,-2.0697932461560153,24.0,Man
151,316277.0,1000.0,0.18687843609416943,-0.5713998712504215,48.0,Woman
152,174966.0,125.0,-0.010136057586850869,0.030954376500631205,25.0,Man
153,163970.0,1000.0,0.5958422365182161,-1.8368580134623655,34.0,Woman
154,477954.0,125.0,0.6932263048722979,-2.106531404614943,43.0,Man
155,617145.0,250.0,0.08199534904906183,-0.2503548196786857,52.0,Man
156,270708.0,1000.0,0.34700235129219564,-1.0616107472088163,40.0,Man
157,181744.0,125.0,0.43071029929210247,-1.313454969928996,32.0,Man
158,901241.0,250.0,0.6969040514475416,-2.1336351206527837,30.0,Man
159,242858.0,1000.0,0.7842651582113433,-2.3980623052812042,30.0,Man
160,816125.0,250.0,0.16997477143551393,-0.5273317288035104,61.0,Woman
161,233432.0,250.0,0.2705909394686794,-0.8231340159103048,40.0,Woman
162,100413.0,1000.0,0.6728693197660799,-2.0585917995914738,40.0,Man
163,117386.0,250.0,0.06772123769866129,-0.20630846815840564,42.0,Woman
164,169393.0,250.0,0.7445918297428673,-2.2807186370057124,49.0,Man
165,791774.0,1000.0,0.1996327125179223,-0.6115758802884775,1957.0,Woman
166,789991.0,250.0,0.13918634180249548,-0.4250090221075907,31.0,Man
167,916587.0,1000.0,0.07854708243160903,-0.2397920502062438,29.0,Man
168,885691.0,1000.0,0.8014504013877342,-2.443251228033402,43.0,Man
169,746535.0,250.0,0.683791470602226,-2.090064974426484,47.0,Man
170,272000.0,125.0,0.6223444231627857,-1.9048239208184146,38.0,Man
171,112343.0,125.0,0.680258747404924,-2.0915267982958605,27.0,Man
172,436991.0,125.0,0.06780769184273185,-0.20841452392256865,62.0,Woman
173,357674.0,125.0,0.29135389857678495,-0.8924207822857574,55.0,Woman
174,952014.0,1000.0,0.7073222890374156,-2.1803779731873245,41.0,Man
175,556086.0,1000.0,0.5358210128950193,-1.6370682856104206,40.0,Woman
176,262362.0,1000.0,0.7346216567864292,-2.251050809623411,48.0,Woman
177,315058.0,125.0,0.6631347658897557,-2.0278611518569885,44.0,Woman
178,912877.0,125.0,0.3054757145586549,-0.9308036920587129,42.0,Woman
179,524214.0,250.0,0.6453425619648445,-1.976656218908072,50.0,Woman
180,349357.0,1000.0,0.6733801598799216,-2.0600611967234284,36.0,Man
181,433557.0,1000.0,-0.046010280579791306,0.14052197716059295,30.0,Woman
182,119299.0,125.0,0.648602918567428,-2.0002610883659737,34.0,Man
183,515034.0,125.0,0.3386488153371572,-1.0313255576826936,25.0,trangender woman
184,935908.0,1000.0,0.7563393365804221,-2.3147322706760516,26.0,Man
185,140264.0,125.0,0.5939306313624999,-1.834940330570754,64.0,Man
186,235277.0,1000.0,0.2703602698277288,-0.8255959608871313,-0.054610852050602676,Man
187,348412.0,250.0,-0.038329229312751165,0.1189904594115801,49.0,Woman
188,511491.0,125.0,0.5246920006559557,-1.5976442978540568,39.0,Woman
189,836332.0,125.0,0.6635857336511467,-2.0277117536524645,35.0,Woman
190,358457.0,125.0,0.5316115987676535,-1.6449786752753723,49.0,Prefer not to answer
191,148823.0,250.0,0.7129074256983804,-2.1376686663733544,31.0,Woman
192,687918.0,250.0,0.6714046990818178,-2.0618823361767515,51.0,Woman
193,525452.0,125.0,0.621981522040842,-1.9164090841550092,43.0,Woman
194,651003.0,250.0,0.7229743434166964,-2.2149825254725495,42.0,Man
195,551274.0,125.0,0.5884510673525395,-1.8031135037338746,34.0,Man
196,165862.0,250.0,0.041638908595176216,-0.13225743634298504,57.0,Woman
197,222568.0,125.0,0.39603423880724903,-1.2267243984064873,29.0,Woman
198,110620.0,125.0,0.5507436616727104,-1.6932342336563304,44.0,Man
199,745763.0,125.0,0.26507574511307885,-0.8110035128382485,40.0,Woman
200,173362.0,125.0,0.3192402513696407,-0.9763786215312641,44.0,Woman
201,175150.0,250.0,0.7721317142687099,-2.3637285796910428,49.0,Man
202,254724.0,125.0,0.5841754469750741,-1.7971751682677648,29.0,Woman
203,614634.0,1000.0,0.761426075057587,-2.3303302437131586,31.0,Woman
204,139519.0,125.0,0.18123467766854562,-0.5579197744825063,26.0,Woman
205,128077.0,250.0,0.5168432406744357,-1.5859543378481362,49.0,Woman
206,169549.0,1000.0,0.45682225204441285,-1.3942624134783554,32.0,Man
207,535559.0,250.0,0.7491386181198365,-2.292810191848547,37.0,Man
208,742095.0,125.0,0.6489732843710857,-1.965281080910302,41.0,Man
209,824172.0,1000.0,0.28752330885050437,-0.8798315472021487,51.0,Man
210,316003.0,250.0,0.6804680581850497,-2.0791130680750953,55.0,Man
211,998271.0,125.0,0.683196556143494,-2.09129750113213,33.0,Man
212,106816.0,1000.0,0.49036958208015285,-1.5113499597417202,59.0,Woman
213,167368.0,250.0,0.2002640572943666,-0.6119460511558187,35.0,Woman
214,200140.0,250.0,0.614684335272267,-1.8787491762277144,30.0,Man
215,122388.0,250.0,0.7715114157716788,-2.355579537498675,50.0,Woman
216,170213.0,125.0,0.5821447957344508,-1.7832568938335145,52.0,Woman
217,258888.0,250.0,0.3907416353710562,-1.2025358459688908,63.0,Man
218,404045.0,1000.0,0.5964992744915222,-1.8225303983716323,35.0,Woman
219,794028.0,250.0,0.12691612604512145,-0.3863204260075884,34.0,Woman
220,920142.0,1000.0,0.5831691577328062,-1.772323541195984,31.0,Man
221,309304.0,1000.0,0.6981950515595851,-2.1088005257816262,30.0,Woman
222,941180.0,1000.0,0.5644692222379867,-1.7138631460323162,25.0,Woman
223,791313.0,125.0,0.514202956954603,-1.5827402585637256,28.0,Woman
224,152479.0,125.0,0.3505451890800898,-1.0809970697602607,63.0,Woman
225,579384.0,250.0,0.6281090059311263,-1.9238237631726132,20.0,Woman
226,998924.0,250.0,0.6481335950694624,-1.983014023280837,32.0,Man
227,834029.0,250.0,0.6524652066966332,-1.9655836984463622,57.0,Man
228,601933.0,250.0,0.6381865839523615,-1.9630733654824226,29.0,Man
229,780015.0,1000.0,-0.055914833025837336,0.16769981004792317,35.0,Man
