,subjID,duration,block,slope,intercept,avg_estim,age,gender
206,978292,750,4,0.4278823057916027,0.5358054737090323,1.8542000000000003,33,Man
207,978292,1000,4,0.4183016126916498,0.5825747169066251,1.8542000000000003,33,Man
208,123232,250,1,0.008886865974720775,1.8267788344628344,1.8541999999999998,35,Woman
209,123232,500,1,0.5265031564130502,0.39968665169892414,2.0320000000000005,35,Woman
210,123232,750,1,0.8618973932206793,-0.32659248319585554,2.2352000000000003,35,Woman
211,123232,1000,1,0.6464921086363643,-0.05313148222782216,1.939636363636364,35,Woman
212,123232,250,2,0.004906598751651412,2.2968453244224807,2.311400000000001,35,Woman
213,123232,500,2,0.24904316355810496,0.9893864716792243,1.7526000000000002,35,Woman
214,123232,750,2,0.5165948134753345,0.9001995173292245,2.56032,35,Woman
215,123232,1000,2,0.9645209076037995,-0.692926620866734,2.1844,35,Woman
216,123232,250,3,0.9026571309790999,0.6976448396231212,3.5052000000000008,35,Woman
217,123232,500,3,0.740436120578443,0.6595868266730247,2.8702000000000005,35,Woman
218,123232,750,3,0.9174226592304965,0.2333055804508719,3.0480000000000005,35,Woman
219,123232,1000,3,1.4297825898284173,-1.1815351978107635,3.048,35,Woman
220,123232,250,4,0.9352873079254025,-0.24079973102226093,2.4892,35,Woman
221,123232,500,4,0.4745714094264873,1.4550176274945328,2.8448000000000007,35,Woman
222,123232,750,4,1.1514002153273049,-0.6248698191247168,2.8194,35,Woman
223,123232,1000,4,0.546652082369839,0.5605006352447519,2.2606000000000006,35,Woman
224,334400,250,1,0.21012350214039627,1.6316259393534533,2.2606000000000006,66,Man
225,334400,500,1,0.7976307832321342,0.025727121406225795,2.2721454545454547,66,Man
226,334400,750,1,0.79884410723417,-0.5702082273642359,1.7830800000000004,66,Man
227,334400,1000,1,0.9157091647037292,-0.3236305211098349,2.4764999999999997,66,Man
228,334400,250,2,0.6199809138766053,0.7365404167473861,2.5908,66,Man
229,334400,500,2,0.8209235294231828,0.28450518084744836,2.794,66,Man
230,334400,750,2,0.9820311556389499,-0.6038501351255587,2.3939500000000002,66,Man
231,334400,1000,2,0.8472583531347515,0.03937600686511811,2.4892000000000007,66,Man
232,334400,250,3,0.3813057037860187,1.2235441400000864,2.4384,66,Man
233,334400,500,3,0.46087510814972393,0.4446077413873166,1.8796000000000006,66,Man
234,334400,750,3,1.1688269225900576,-1.2226110257530105,2.35585,66,Man
235,334400,1000,3,1.2183600675340547,-0.9585673719860832,2.7304999999999997,66,Man
236,334400,250,4,0.8671250680953927,-0.21157412638120254,2.4106909090909094,66,Man
237,334400,500,4,0.9261146993992238,-0.6084879758880439,2.1590000000000003,66,Man
238,334400,750,4,0.38915764463486235,1.3612215476553549,2.5273000000000003,66,Man
239,334400,1000,4,0.8073079144772556,-0.11024346559146458,2.3939500000000002,66,Man
240,483064,250,1,0.8893550939045725,-0.06246497698786868,2.5273000000000003,53,Woman
241,483064,500,1,0.9580944386512708,-0.03146322967567228,2.8194000000000004,53,Woman
242,483064,750,1,0.4823020152915058,1.6271671673551604,3.0734,53,Woman
243,483064,1000,1,1.1221142248656892,-0.6751862471844703,2.5527,53,Woman
244,483064,250,2,0.5087033047402187,0.84408468863158,2.341418181818182,53,Woman
245,483064,500,2,1.1206373312246714,-0.5118784578511417,2.7559,53,Woman
246,483064,750,2,1.1295925097091293,-0.5623875333973705,2.7051,53,Woman
247,483064,1000,2,0.4128827427943282,2.283323352231717,3.5560000000000005,53,Woman
248,483064,250,3,0.8835743933431044,0.22311479004439283,2.840181818181818,53,Woman
249,483064,500,3,0.8661406715676554,-0.29837802967686544,2.3275636363636365,53,Woman
250,483064,750,3,0.7836610504630944,0.28969874535638773,2.7432000000000003,53,Woman
251,483064,1000,3,1.1943576342586157,-0.33670009821430824,3.2512000000000003,53,Woman
252,483064,250,4,0.8073781588543041,0.41077281100176677,2.7986181818181817,53,Woman
253,483064,500,4,0.8235842089750006,0.3498842691648272,2.9083,53,Woman
254,483064,750,4,1.3173289034910332,-0.821130698836563,3.2004,53,Woman
