,subjID,duration,block,slope,intercept
90,710719,750,3,1.1807549677842377,-1.2270602484565156
91,710719,1000,3,0.635221428648693,0.06306063637074288
92,710719,250,4,0.533288648625228,0.5571987546638271
93,710719,500,4,1.384774056070944,-1.6394211979791176
94,710719,750,4,0.9280444325650296,-0.7734626706196803
95,710719,1000,4,1.0246648840921613,-0.8019952554409588
96,544758,250,1,0.23956705995359825,1.1644894628173703
97,544758,500,1,0.7270817741110579,-0.06232670425281439
98,544758,750,1,0.3007201157532224,1.2063664102623735
99,544758,1000,1,0.5428399163700954,0.6367149549838547
100,544758,250,2,0.2770049001309702,1.5039386002728836
101,544758,500,2,0.3460278362822938,0.9567227090664974
102,544758,750,2,0.24333055351293076,1.516799330549349
103,544758,1000,2,0.47020621092574144,0.9410800951787679
104,544758,250,3,0.5969051348152793,0.5156609983717977
105,544758,500,3,0.3476002275881586,1.353853127462522
106,544758,750,3,0.48204119733242395,1.2162405555331022
107,544758,1000,3,0.0971570482230174,1.912225111813247
108,544758,250,4,0.5206372931485459,0.8100934562419941
109,544758,500,4,0.5649808464819716,0.8303432232307801
110,544758,750,4,0.7123860923414381,0.2513124170885499
111,544758,1000,4,0.6787547385988372,0.7856452126969256
112,796561,250,1,-0.015820176511115443,1.6239379626240409
113,796561,500,1,0.16546370274534716,1.2100738660359502
114,796561,750,1,0.25181105522296027,0.9839534401911803
115,796561,1000,1,0.4684331686584032,0.5136168627436841
116,796561,250,2,0.12919506227428376,1.4689080255325178
117,796561,500,2,0.2863202141408192,0.7579741638182963
118,796561,750,2,0.11436633631192995,1.3538928396750967
119,796561,1000,2,-0.0031303500692529025,2.092214266970773
120,796561,250,3,0.17685661287868903,1.2849104505602864
121,796561,500,3,0.009948420175433457,1.5209327486945536
122,796561,750,3,-0.18069090597637716,2.2401066895259283
123,796561,1000,3,0.22632614722573363,1.1964109489587877
124,796561,250,4,0.000909200220071989,1.8514117859917798
125,796561,500,4,0.11372672045859893,1.5149578592818804
126,796561,750,4,0.2238207380429114,1.2894949887103384
127,796561,1000,4,0.16476733770858207,1.2960058488321602
128,615398,250,1,0.7905103575311127,-0.4903684255168994
129,615398,500,1,1.377423302703829,-1.6301890188238422
130,615398,750,1,1.0831430296423568,-1.3066996067278611
131,615398,1000,1,0.7432688191048858,-0.7746102593969699
132,615398,250,2,0.6362584215456936,0.9961219607581222
133,615398,500,2,0.9776285662241729,-0.3111678714809978
134,615398,750,2,1.4693236927952786,-1.455947236492793
135,615398,1000,2,1.028331458564156,-0.6581035445464956
136,615398,250,3,1.1497206612276205,-0.27931013328561205
137,615398,500,3,1.0222775743532468,0.33234857350004177
138,615398,750,3,0.809263005423189,0.6919525507595079
139,615398,1000,3,0.9834841191745577,0.11900035984227708
140,615398,250,4,1.4104407902887242,-0.7769139972171417
141,615398,500,4,0.8993964931147284,0.4707157415358183
142,615398,750,4,1.504573945550805,-1.3481252670982502
143,615398,1000,4,1.6194162620724306,-1.470684905927326
144,424887,250,1,0.3492248098031957,1.2181122691897455
145,424887,500,1,0.8925198941179341,-0.33764937287371444
146,424887,750,1,0.9100158504523259,-0.37113921936835226
147,424887,1000,1,1.1538726565265867,-0.9491038212953566
148,424887,250,2,0.5540610683000502,0.3230734988654298
149,424887,500,2,0.547050885605968,0.43376436841493793
150,424887,750,2,0.821657790245946,-0.005851987230075295
151,424887,1000,2,0.6716579936017812,0.22690941685687216
152,424887,250,3,0.5026667540222526,0.36506173117906715
153,424887,500,3,0.7028654857079872,0.07431738266403798
154,424887,750,3,0.8577940496230042,-0.3953262506943487
155,424887,1000,3,0.8412378549305584,-0.28935480264660507
156,424887,250,4,0.7291423107996684,-0.11529977676733205
157,424887,500,4,0.5664894114462847,0.4722643632421202
158,424887,750,4,0.7354103769387336,0.22710372242864407
159,424887,1000,4,0.6554280192027541,-0.2919231670013356
160,504100,250,1,0.25070273298496104,1.5744488279505557
161,504100,500,1,0.7309495027465328,0.7747775026875643
162,504100,750,1,0.7663157861556948,0.47716977033704433
163,504100,1000,1,1.3524605647761865,-1.2291417441242212
164,504100,250,2,0.7395525421093123,0.049730587904764256
165,504100,500,2,0.9487030351671791,-0.26516091686962895
166,504100,750,2,1.1742714077975802,-0.6769571498650495
167,504100,1000,2,1.2305299537180239,-0.673044215022478
168,504100,250,3,0.517730532454913,0.870989943995921
169,504100,500,3,1.056076814852733,0.22412813093878325
170,504100,750,3,1.1701417595894714,-0.5938927428468652
171,504100,1000,3,1.4255744735870262,-0.5118716864026225
172,504100,250,4,1.150166091405001,-0.1461364949078252
173,504100,500,4,0.8010482902161972,1.557686503580797
174,504100,750,4,1.0511978248306,0.00867654161575393
175,504100,1000,4,1.3103274598172112,-0.1847833864727484
176,181267,250,1,0.33787145580528527,0.254116443058626
177,181267,500,1,0.5818173774796742,-0.2775889237907272
